home_team	season	wins	losses	ties	points_for	points_against	pre_wins	pre_losses	pre_ties	pre_points_for	pre_points_against
SEA	2006	9	7	0	335	341	2	2	0	83	68
SEA	2007	10	6	0	393	291	3	1	0	86	91
SEA	2008	4	12	0	294	392	3	1	0	103	77
SEA	2009	5	11	0	280	390	4	0	0	92	58
SEA	2010	7	9	0	310	407	1	3	0	81	96
SEA	2011	7	9	0	321	315	2	2	0	71	63
SEA	2012	11	5	0	412	245	4	0	0	122	44
SF	2002	10	6	0	367	351	2	2	0	63	44
SF	2003	7	9	0	384	337	3	1	0	68	52
SF	2004	2	14	0	259	452	0	4	0	68	107
SF	2005	4	12	0	239	428	2	2	0	82	80
SF	2006	7	9	0	298	412	2	2	0	65	68
SF	2007	5	11	0	219	364	1	3	0	80	85
SF	2008	7	9	0	339	381	2	2	0	94	74
SF	2009	8	8	0	330	281	3	1	0	65	75
SF	2010	6	10	0	305	346	4	0	0	97	65
SF	2011	13	3	0	380	229	2	2	0	47	74
SF	2012	11	4	1	397	273	3	1	0	90	53
STL	2002	7	9	0	316	369	0	4	0	69	101
STL	2003	12	4	0	447	328	1	3	0	62	73
STL	2004	8	8	0	319	392	1	3	0	69	68
STL	2005	6	10	0	363	429	3	1	0	102	85
STL	2006	8	8	0	367	381	1	3	0	60	89
STL	2007	3	13	0	263	438	2	2	0	46	63
STL	2008	2	14	0	232	465	2	2	0	61	71
STL	2009	1	15	0	175	436	3	1	0	77	70
STL	2010	7	9	0	289	328	3	1	0	89	101
STL	2011	2	14	0	193	407	4	0	0	88	53
STL	2012	7	8	1	299	348	2	2	0	84	92
TB	2002	12	4	0	346	196	3	1	0	61	63
TB	2003	7	9	0	301	264	3	1	0	80	54
TB	2004	5	11	0	301	304	3	1	0	60	39
TB	2005	11	5	0	300	274	2	2	0	89	68
TB	2006	4	12	0	211	353	1	3	0	57	61
TB	2007	9	7	0	334	270	3	1	0	94	93
TB	2008	9	7	0	361	323	3	1	0	77	45
TB	2009	3	13	0	244	400	1	3	0	70	87
TB	2010	10	6	0	341	318	2	2	0	64	61
TB	2011	4	12	0	287	494	2	2	0	80	73
TB	2012	7	9	0	389	394	2	2	0	60	95
TEN	2002	11	5	0	367	324	2	2	0	82	75
TEN	2003	12	4	0	435	324	4	0	0	97	48
TEN	2004	5	11	0	344	439	3	1	0	84	45
TEN	2005	4	12	0	299	421	1	3	0	71	78
TEN	2006	8	8	0	324	400	1	3	0	67	95
TEN	2007	10	6	0	301	297	3	1	0	91	69
TEN	2008	13	3	0	375	234	3	1	0	77	67
TEN	2009	8	8	0	354	402	2	2	0	81	86
TEN	2010	6	10	0	356	339	2	2	0	76	69
TEN	2011	9	7	0	325	317	3	1	0	76	42
TEN	2012	6	10	0	330	471	3	1	0	89	67
WAS	2002	7	9	0	307	365	3	1	0	126	102
WAS	2003	5	11	0	287	372	1	3	0	52	60
WAS	2004	6	10	0	240	265	2	2	0	67	51
WAS	2005	10	6	0	359	293	1	3	0	64	88
WAS	2006	5	11	0	307	376	0	4	0	27	104
WAS	2007	9	7	0	334	310	2	2	0	51	56
WAS	2008	8	8	0	265	296	2	2	0	36	95
WAS	2009	4	12	0	266	336	1	3	0	58	87
WAS	2010	6	10	0	302	377	2	2	0	71	71
WAS	2011	5	11	0	288	367	3	1	0	92	68
WAS	2012	10	6	0	436	388	3	1	0	98	59
